#seq;rnd_rate;wrt_rate;io_size;sys_cpu;usr_cpu;cpu_ctx;cpu_minf;cpu_majf;r_io_bytes;r_bw;r_bw_min;r_bw_max;r_bw_mean;r_bw_dev;r_iops;r_runtime;r_min_lat;r_max_lat;r_mean_lat;r_stddev_lat;w_io_bytes;w_bw;w_bw_min;w_bw_max;w_bw_mean;w_bw_dev;w_iops;w_runtime;w_min_lat;w_max_lat;w_mean_lat;w_stddev_lat
2;20;0;256;7.89;0.0;803;5;0;204800;403149;403968;403968;403968.0;0.0;1574;508;526;1245;631.49;47.72;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;20;0;256;6.44;0.0;802;5;0;204800;411244;0;0;0.0;0.0;1606;498;524;1419;618.28;45.75;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;20;0;256;5.49;1.57;802;6;0;204800;400782;401920;401920;401920.0;0.0;1565;511;527;1286;635.23;48.88;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;20;0;512;8.96;0.0;403;5;0;204800;416260;0;0;0.0;0.0;813;492;1054;1730;1222.8;71.44;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;20;0;512;9.86;0.82;403;5;0;204800;419672;0;0;0.0;0.0;819;488;1042;1715;1211.66;67.34;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;20;0;512;9.76;0.0;403;5;0;204800;415415;0;0;0.0;0.0;811;493;1026;1976;1223.93;85.41;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;20;0;512;8.11;0.81;403;5;0;204800;414574;0;0;0.0;0.0;809;494;1086;1713;1227.12;78.86;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;20;0;1024;6.33;0.0;202;5;0;204800;462302;0;0;0.0;0.0;451;443;2009;2879;2207.23;117.68;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;20;0;1024;6.42;0.0;202;5;0;204800;468649;0;0;0.0;0.0;457;437;2014;2860;2177.27;91.85;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;20;0;1024;6.39;0.0;204;6;0;204800;466514;0;0;0.0;0.0;455;439;2041;2684;2186.3;92.8;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;20;0;1024;7.21;0.0;203;5;0;204800;460224;0;0;0.0;0.0;449;445;2014;2708;2216.25;100.79;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;20;20;2;12.94;3.17;102411;6;0;163524;14566;13668;16512;14551.05;783.02;7283;11226;20;5827;118.1;95.56;41276;3676;3236;4340;3679.14;264.57;1838;11226;3;5030;64.01;106.58
2;20;20;2;12.49;3.5;102407;6;0;163524;14592;13260;16496;14570.32;905.63;7296;11206;25;5033;118.0;95.83;41276;3683;3100;4232;3682.68;308.67;1841;11206;6;3550;63.44;94.32
3;20;20;2;14.07;3.13;102410;7;0;163524;14198;13116;15584;14202.13;684.54;7099;11517;29;6976;120.27;88.22;41276;3583;3232;3860;3585.17;210.27;1791;11517;7;5082;67.7;110.46
4;20;20;2;13.68;3.8;102408;6;0;163524;14262;13084;15088;14251.5;591.77;7131;11465;29;5309;120.27;96.37;41276;3600;3272;3964;3604.5;181.0;1800;11465;20;3842;65.88;87.93
1;20;20;4;14.3;4.19;51205;6;0;163332;27154;25824;29216;27160.0;1156.76;6788;6015;28;5902;126.55;98.06;41468;6894;6232;7608;6893.75;373.19;1723;6015;33;3828;68.81;88.45
2;20;20;4;14.46;3.27;51204;6;0;163332;27203;25840;28472;27063.91;776.95;6800;6004;31;6901;127.05;114.27;41468;6906;6568;7168;6866.91;201.25;1726;6004;22;3461;66.96;76.7
3;20;20;4;11.84;1.85;51208;6;0;163332;29124;26912;31296;29159.54;1675.13;7281;5608;27;13450;120.15;127.79;41468;7394;6800;8184;7391.27;511.26;1848;5608;3;1438;59.87;75.01
4;20;20;4;11.37;2.49;51205;6;0;163332;29021;26144;32112;29012.64;2166.26;7255;5628;28;5565;120.04;106.82;41468;7368;6856;8400;7347.0;454.22;1842;5628;31;3144;61.21;88.01
